DEC_LAT,DEC_LONG
40.4345,-79.9898
40.4277,-79.9853
40.561,-79.8006
40.4464,-80.0204
40.4485,-80.0029
40.373,-80.0993
40.4599,-79.907
40.5192,-79.928
40.4268,-79.9997
40.4345,-79.7872
40.4454,-79.7653
40.4122,-80.0106
40.465,-79.9005
40.4344,-79.9255
40.423,-80.0305
40.4889,-79.9013
40.4541,-79.9968
40.487,-80.0089
40.4565,-79.9015
40.394,-79.9865
40.411,-80.0059
40.4257,-79.905
40.4415,-80.0715
40.4305,-79.7512
40.4498,-79.9297
40.3634,-79.9922
40.502,-79.9851
40.4842,-80.1223
40.4426,-80.0242
40.6052,-79.7574
40.545,-79.8382
40.4161,-80.0589
40.3638,-79.9841
40.2409,-79.8601
40.409,-79.8961
40.4313,-79.8391
40.4944,-79.8273
40.3583,-80.0287
40.4275,-79.7512
40.4385,-80.006
40.3481,-80.0527
40.5132,-80.2698
40.6595,-79.8444
40.5484,-80.0856
40.4293,-79.982
40.6082,-80.1774
40.4478,-79.9369
40.5957,-79.7705
40.462,-80.1118
40.4723,-79.973
40.4458,-80.0438
40.4036,-80.0404
40.3847,-79.8244
40.3794,-79.807
40.332,-79.8453
40.6018,-79.7499
40.4467,-79.8954
40.4263,-79.9636
40.3558,-80.0027
40.289,-80.0076
40.6314,-79.9752
40.5375,-80.0081
40.5,-80.222
40.4045,-80.019
40.4797,-79.9331
40.4277,-79.9236
40.4159,-80.0847
40.4859,-79.8207
40.4284,-79.9185
40.4156,-80.06
40.4386,-79.9865
40.4862,-79.9133
40.5962,-79.9845
40.4266,-80.2857
40.468,-80.0157
40.3841,-80.0933
40.4703,-79.9605
40.5255,-79.9278
40.6326,-80.0975
40.3822,-79.9959
40.4585,-79.773
40.5563,-80.0391
40.4376,-80.0688
40.5203,-80.1638
40.4414,-79.9234
40.4444,-79.9907
40.4033,-80.0915
40.4432,-80.0003
40.5048,-80.2068
40.4416,-79.9923
40.4784,-79.9684
40.3738,-80.0064
40.4569,-79.9094
40.42,-80.0348
40.4609,-79.9152
40.3926,-79.9972
40.4353,-79.9993
40.5361,-80.0104
40.5277,-80.1624
40.3604,-80.0287
40.5527,-80.0724
40.4655,-79.9467
40.6229,-79.8244
40.3456,-79.8406
40.4481,-80.1625
40.4439,-80.0276
40.4013,-80.0631
40.6426,-80.0674
40.3945,-79.9701
40.3817,-79.8176
40.4561,-80.0293
40.4574,-79.941
40.4614,-80.0183
40.3683,-80.0841
40.4326,-79.7518
40.4384,-80.002
40.485,-79.9699
40.5637,-80.0199
40.4952,-80.1241
40.3342,-80.0027
40.4033,-79.9889
40.4441,-80.0281
40.4411,-79.7609
40.4534,-80.166
40.5412,-79.7973
40.5399,-80.1228
40.4029,-80.0011
40.3859,-80.0409
40.3552,-79.8352
40.4556,-79.897
40.4351,-79.9564
40.3832,-79.9771
40.4587,-79.9985
40.468,-80.0218
40.4414,-80.0088
40.33,-79.9889
40.24,-79.8683
40.4841,-80.1859
40.4564,-79.8919
40.4278,-79.9286
40.4341,-79.9957
40.4176,-80.201
40.4303,-80.191
40.448,-80.0178
40.4741,-80.0349
40.5049,-80.1448
40.4949,-79.8086
40.4967,-80.2791
40.5069,-79.8573
40.4359,-79.7857
40.3404,-79.958
40.4443,-79.9909
40.4571,-79.9293
40.4636,-79.953
40.6262,-80.0562
40.4373,-80.2038
40.5996,-79.9477
40.6065,-79.9409
40.3731,-79.8003
40.4329,-79.9365
40.4511,-79.7616
40.3431,-79.964
40.4723,-79.973
40.3503,-79.927
40.6403,-80.0013
40.4404,-79.9603
40.4785,-79.8225
40.3473,-80.0559
40.4246,-80.1293
40.4704,-79.9231
40.4629,-79.7912
40.4207,-79.9223
40.3941,-79.9028
40.4501,-79.9739
40.4286,-79.9776
40.4677,-80.0028
40.4838,-80.05
40.6161,-80.0927
