MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,ILLUMINATION,WEATHER,ROAD_CONDITION,COLLISION_TYPE,RELATION_TO_ROAD,PERSON_COUNT,VEHICLE_COUNT,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,MIN_INJ_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,UNBELTED_OCC_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,COMM_VEH_COUNT,MAX_SEVERITY_LEVEL,DRIVER_COUNT_16YR,DRIVER_COUNT_17YR,DRIVER_COUNT_18YR,DRIVER_COUNT_19YR,DRIVER_COUNT_20YR,DRIVER_COUNT_50_64YR,DRIVER_COUNT_65_74YR,DRIVER_COUNT_75PLUS,lat,long,DEC_LAT,DEC_LONG
2301,2,6,1255,12,1,1,0,4,1,5,3,3,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,40 26:04.2  ,79 59:23.1  ,40.4345,-79.9898
2301,2,7,1752,17,4,4,3,4,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 25:39.666,79 59:07.101,40.4277,-79.9853
2121,4,2,2321,23,3,1,0,7,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 33:39.576,79 48:01.991,40.561,-79.8006
2301,5,6,2340,23,3,1,0,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,40 26:47.009,80 01:13.548,40.4464,-80.0204
2301,5,1,1450,14,1,1,0,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 26:54.711,80 00:10.382,40.4485,-80.0029
2102,7,6,843,8,1,1,0,4,1,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,40 22:22.946,80 05:57.324,40.373,-80.0993
2301,1,6,1320,13,1,1,6,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40 27:35.664,79 54:25.376,40.4599,-79.907
2112,2,1,1000,10,1,1,1,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 31:09.071,79 55:40.871,40.5192,-79.928
2301,3,5,1740,17,4,1,0,1,2,1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 25:36.656,79 59:59.049,40.4268,-79.9997
2446,3,6,2130,21,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40 26:04.160,79 47:13.990,40.4345,-79.7872
