train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
2,AVA-VIV Blouse,1,Women/Tops & Blouses/Blouse,Target,10,1,"Adorable top with a hint of lace and a key hole in the back! The pale pink is a 1X, and I also have a 3X available in white!"
6,Acacia pacific tides santorini top,3,Women/Swimwear/Two-Piece,Acacia Swimwear,64,0,"Size small but straps slightly shortened to fit xs, besides that, perfect condition"
11,New vs pi k body mists,1,Beauty/Fragrance/Women,Victoria's Secret,34,0,(5) new vs pink body mists (2.5 oz each) Fresh & Clean Sun kiss Cool and bright Total flirt Sweet and flirty
12,Black Skater dress,2,"Women/Dresses/Above Knee, Mini",rue,16,0,"Xl, great condition"
13,Sharpener and eraser,1,Other/Office supplies/School Supplies,Scholastic,4,1,No description yet
15,Sephora tarte birthday gift,1,Beauty/Makeup/Makeup Sets,Tarte,11,1,Brand new. Deluxe travel size products. Contains: Amazonian Clay 12 hour Blush in Paaarty - .05oz/1.5g Tarteist Lip Paint in Birthday Suit - .034oz/1ml
16,Glitter Eyeshadow,1,Beauty/Makeup/Eyes,Wet n Wild,6,1,2 glitter eyeshadows; one in Brass and one in Bleached.
18,"Too Faced Limited ""Merry Macaroons""",1,Beauty/Makeup/Makeup Palettes,Too Faced,25,1,"This AUTHENTIC pallete by Too Faced is brand new in mint condition still in original box. It's part of the. Christmas 2016 collection. It has 12 pretty eye shadow colors and a small sized""Better Than Sex"" mascara. Never even swatched. Impeccable shape. Price includes 2 day priority shipping with insurance."
19,Cream/ Beige Front Cross Shirt,2,Women/Tops & Blouses/Blouse,Anthropologie,27,0,"Fancy, dressy or casual! Dress it up or down 100% polyester; washed once, never dried. Size: Small Brand: lush Purchased from Francesca's Tags: Free People, Anthropology, Dry Goods, Francesca's"
20,Torrid Nautical Peplum Tube Top,3,"Women/Tops & Blouses/Tank, Cami",Torrid,13,1,Size 1. Worn once. Excellent condition
21,NWT VS ULTIMATE SPORTS BRA 34ddd,1,Women/Athletic Apparel/Sports Bras,Victoria's Secret,20,0,NWT Victoria's Secret ULTIMATE SPORT BRA -MAXIMUM SUPPORT SIZE 34ddd
22,Galaxy S7 Edge (Unlocked) 32GB,3,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,Samsung,386,0,"Reasonable offers welcomed. But if you ask ""lowest"" or lowball I'll block you... - This phone was opened under T-Mobile but has now been unlocked after switching to new phone. - All of the buttons are functioning like new still. - It's in perfect used condition - Check my reviews for honest feedback. - 32GB ; Sorry no charger included"
25,Air Jordan carmine 6s,3,Men/Shoes/Athletic,Air Jordan,66,0,They are 100 percent authentic. They are beaters but they still have a lot of life in them. No original box.
26,Otterbox Defender iPhone 6 Plus/6s Plus,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Apple,13,1,Brand new Otterbox Defender iPhone 6 Plus/6s Plus
27,LuLaRoe OS Black With White Polka Dots,3,"Women/Athletic Apparel/Pants, Tights, Leggings",LuLaRoe,24,0,Worn one time. Excellent condition
28,Forever21 floral romper strapless,2,Women/Swimwear/One-Piece,FOREVER 21,5,1,Beautiful Excellent condition Zips and ties in the back Cream liner top to bottom
29,Kendra bundle,3,Women/Jeans/Boot Cut,Hollister,16,1,"29w. X 33l. Social stretch hollister jeans *** please see picture 4, the leathers tag near the belt loops is tore Also, AE favorite boyfriend size 8 stretch"
32,Pink bra 36d,1,Women/Underwear/Bras,PINK,22,0,Pink bra with logo band! 36d push up
33,Caudal¨ªe Beauty Elixir Spray,1,Beauty/Skin Care/Face,Sephora,10,1,New unused and authentic. Caudalie beauty elixir mist. 1 oz
37,Under Armour maroon and gray shirt metal,4,Men/Athletic Apparel/Shirts & Tops,Under Armour,6,1,"Has some wear to the back, and few white spots which I believe can be washed out"
38,XBOX One,3,Electronics/Video Games & Consoles/Consoles,Xbox,226,0,500GB Comes with power cord One controller with rechargeable pack and cord Comes with downloaded games The top is pretty scratched up but it doesn't affect the gameplay
39,Victoria secret 34 c corest top,3,Women/Underwear/Bras,Victoria's Secret,10,0,Victoria secret 34 c corest top Will bundle to save on shipping If you have any questions please feel free to ask
40,Kylie Birthday Edition,1,Beauty/Makeup/Makeup Sets,Kylie Cosmetics,20,1,Kylie Happy Birthday Matte Mini Lipstick Kylie Jenner Lip Kit Birthday Matte Lipstick Mini Kit 6 pcs All 6 included for the price. BRAND NEW NEVER OPENED 6 mini lipstick Leo Kristen Dolce Expos PRICE IS FIRM! WILL NOT BE DISAPPOINTED Shipping generally takes 1-3 days via USPS I ship within 24 hours. 48 hours on week
41,tropical flower print bra from pink,3,Women/Underwear/Bras,PINK,13,1,"Used buh looks brand new and is washed and ready to be shipped Supper cute tropical print Supper comfy and soft Size: 34 AA Great quality Made by Victoria's Secret pink 100% authentic Called ""where every where lightly lined bra"" FREE SHIP SHIPS SAME DAY PRICE INCLUDES SHIPPING AND SELLER FEE"
47,Brandy Melville Off Shoulder Crop Top,2,Women/Tops & Blouses/Blouse,Brandy Melville,21,0,Brandy Melville Off Shoulder Crop Top. One Size Fits All. EUC. 3/4 sleeves. 100% Rayon. Actual color: Navy Blue and cream in stripes.
48,Lululemon wunder under crop,3,"Women/Pants/Capris, Cropped",lululemon athletica,54,0,"Perfect condition! Super comfy, let me know if you have any questions! *Let me know if you want any more pictures *Please ask for a measurement of you are not sure about your size *Bundle discount (: * *Usually SHIP IN THE SAME DAY if purchased on Monday - Saturday post office hours ??Any issues after purchase... Please contact me as soon as you have found the issue. Your satisfaction is my concern.??"
56,New Josie Maran Divine Drip,1,Beauty/Skin Care/Face,Sephora,14,0,New Pure Honey 5oz
57,Infantino Baby Carrier,3,Kids/Gear/Backpacks & Carriers,Infantino,7,1,Great condition! No stains or tears super easy to use ! By infantino brand ! Purchased at target Free shipping:)
62,High waist Levi jeans,2,Women/Athletic Apparel/Shorts,Levi's?,12,1,"Distressed Levi high waist jeans. Size XS, 12 slim in kids size"
63,Highwaist Distressed Denim Shorts,2,Women/Athletic Apparel/Shorts,Hollister,12,1,Highwaist distressed denim shorts size 3 The shorts I wear in most of my images
64,Patagonia Fleece Jacket,3,Men/Coats & Jackets/Fleece Jacket,patagonia,36,0,Men's XXL In Good Condition Minor mark on Sleeve
70,Adidas Ultraboost Shoes,3,Women/Shoes/Athletic,Adidas,61,0,Overall good condition. A few signs of wear
74,Rae Dunn Beauty and the Beast,1,Home/Kitchen & Dining/Coffee & Tea Accessories,Rae Dunn,26,0,Brand new! No cracks or chips! I package everything with extra care! Not responsible for item once shipped
75,Littlest pet shop accessories for Bon,3,Kids/Toys/Dolls & Accessories,Littlest Pet Shop,12,1,these are on hold do not buy :)
80,Maternity top bundle,3,Women/Maternity/Tops & Blouses,Motherhood Maternity,16,0,Sheer black flowy top with cute flower design. Ties at the back or front. Size medium. Great used condition.
88,Misty tentacruel foil pokemon card,3,Vintage & Collectibles/Trading Cards/Animation,Pokemon,3,1,I have 2 available
89,Nike boy sneakers,3,Kids/Boys (4+)/Shoes,Nike,28,0,Size 6Y. High tops. Super light. In good condition. Worn for 1 basketball season. Don't fit my sin anymore.
91,Goosebumps HorrorLand DS Game,3,Electronics/Video Games & Consoles/Games,Nintendo,10,0,Good used condition. Ask about bundling to save.
92,Silver jeans size 11,3,Women/Jeans/Boot Cut,Silver Jeans Co.,16,0,"Distressed with holes. Great shape well taken care of! Fits a size 11, perfect for spring summer and fall!"
105,Leather Fossil Wallet,3,Women/Women's Accessories/Wallets,Fossil,10,0,"Genuine leather, good preowned condition, does need new zipper pull on back. Smoke free home"
106,Floral two Piece tracksuit set,1,Women/Athletic Apparel/Tracksuits & Sweats,Adidas,41,1,Cute boutique brand suit. Floral Print . Polyester & spandex material UNDER BRAND FOR VIEWING
107,Boots NWT 6.5,1,Women/Shoes/Boots,Merona,13,1,Merona short boot new with tag size 6.5 come just above ankle taupe color
108,New Duck Boots sz.7.5,1,Women/Shoes/Boots,Boulevard Boutique,38,0,"New Duck Boots Sz.7.5 Stock up on These Trendy Boots great for FALL/WINTER, can be fold down to make shorter.!!! Boutique Forever Brand"
112,Huda Beauty Lashes,1,Beauty/Makeup/Eyes,Sephora,12,0,Huda beauty lashes in Samantha
113,Marc Jacobs Honey,2,Beauty/Fragrance/Women,MARC JACOBS,10,0,Roller ball full size unused with no box Fun size roller ball unused no box
116,Lebron soldier 9s size 7,2,Men/Shoes/Athletic,Nike,51,0,Boys lebron soldier 9s great condition
119,Victoria's Secret PINK Zip Up Hoodie,3,Women/Sweaters/Full Zip,PINK,20,1,"Victoria's Secret PINK Black Zip Up Hoodie Gently Used - The hoodie shows some wear since it is gently used. There is one minor stain on the wrist of the hoodie. No holes, rips, etc. Size: Large [rm] I have other PINK items in my shop and do bundle :)"
123,XL dress with built in bra.,2,Women/Dresses/Other,Faded Glory,8,0,"White XL dress with built in bra. Strapless, ties around. Brown & pink flower pattern. Had never been in the dryer. I love this dress, but I have become too busty for it. :( Buy it seperately, or add others from my closet. I pay shipping on bundled item."
